State  Code,District Code,Sub District Code,Geographic Subdivision,Name,Total/Rural/Urban,NV_Inhabited,NV_Uninhabited,Number of towns,Number of households,P_Total,P_Males,P_Females,Area(sq.km),Population per sq. km.
0.0,000,00000,INDIA,INDIA,Total,597608,43324,7933.0,249501663.0,1210854977,623270258,587584719,3287469.0,382.0
0.0,000,00000,INDIA,INDIA,Rural,597608,43324,0.0,168612897.0,833748852,427781058,405967794,3101473.97,279.0
0.0,000,00000,INDIA,INDIA,Urban,0,0,7933.0,80888766.0,377106125,195489200,181616925,102252.03,3685.0
1.0,000,00000,STATE,JAMMU & KASHMIR,Total,6337,216,122.0,2119718.0,12541302,6640662,5900640,222236.0,124.0
1.0,000,00000,STATE,JAMMU & KASHMIR,Rural,6337,216,0.0,1553433.0,9108060,4774477,4333583,220990.1,91.0
1.0,000,00000,STATE,JAMMU & KASHMIR,Urban,0,0,122.0,566285.0,3433242,1866185,1567057,1245.9,2755.0
1.0,001,00000,DISTRICT,Kupwara,Total,353,9,10.0,113929.0,870354,474190,396164,2379.0,366.0
1.0,001,00000,DISTRICT,Kupwara,Rural,353,9,0.0,101930.0,765625,412038,353587,2331.66,328.0
1.0,001,00000,DISTRICT,Kupwara,Urban,0,0,10.0,11999.0,104729,62152,42577,47.34,2212.0
1.0,001,00001,SUB-DISTRICT,Kupwara,Total,118,4,7.0,63022.0,540914,297837,243077,301.94,1791.0
1.0,001,00001,SUB-DISTRICT,Kupwara,Rural,118,4,0.0,56014.0,465323,252856,212467,275.03,1692.0
1.0,001,00001,SUB-DISTRICT,Kupwara,Urban,0,0,7.0,7008.0,75591,44981,30610,26.91,2809.0
1.0,001,00002,SUB-DISTRICT,Handwara,Total,196,3,1.0,39485.0,269311,141882,127429,291.47,924.0
1.0,001,00002,SUB-DISTRICT,Handwara,Rural,196,3,0.0,37474.0,255711,134503,121208,282.97,904.0
1.0,001,00002,SUB-DISTRICT,Handwara,Urban,0,0,1.0,2011.0,13600,7379,6221,8.5,1600.0
1.0,001,00003,SUB-DISTRICT,Karnah,Total,39,2,2.0,11422.0,60129,34471,25658,69.89,860.0
1.0,001,00003,SUB-DISTRICT,Karnah,Rural,39,2,0.0,8442.0,44591,24679,19912,57.96,769.0
1.0,001,00003,SUB-DISTRICT,Karnah,Urban,0,0,2.0,2980.0,15538,9792,5746,11.93,1302.0
1.0,002,00000,DISTRICT,Badgam,Total,462,12,9.0,103363.0,753745,398041,355704,1361.0,554.0
1.0,002,00000,DISTRICT,Badgam,Rural,462,12,0.0,89417.0,655833,343385,312448,1311.95,500.0
1.0,002,00000,DISTRICT,Badgam,Urban,0,0,9.0,13946.0,97912,54656,43256,49.05,1996.0
1.0,002,00004,SUB-DISTRICT,Khag,Total,49,0,0.0,8799.0,67596,34457,33139,61.12,1106.0
1.0,002,00004,SUB-DISTRICT,Khag,Rural,49,0,0.0,8799.0,67596,34457,33139,61.12,1106.0
1.0,002,00004,SUB-DISTRICT,Khag,Urban,0,0,0.0,0.0,0,0,0,0.0,0.0
1.0,002,00005,SUB-DISTRICT,Beerwah,Total,102,2,2.0,20914.0,163333,87277,76056,134.07,1218.0
1.0,002,00005,SUB-DISTRICT,Beerwah,Rural,102,2,0.0,19161.0,149671,80103,69568,126.77,1181.0
1.0,002,00005,SUB-DISTRICT,Beerwah,Urban,0,0,2.0,1753.0,13662,7174,6488,7.3,1872.0
1.0,002,00006,SUB-DISTRICT,Khansahib,Total,96,3,1.0,16432.0,123312,64227,59085,125.91,979.0
1.0,002,00006,SUB-DISTRICT,Khansahib,Rural,96,3,0.0,16080.0,120682,62783,57899,121.61,992.0
1.0,002,00006,SUB-DISTRICT,Khansahib,Urban,0,0,1.0,352.0,2630,1444,1186,4.3,612.0
1.0,002,00007,SUB-DISTRICT,Budgam,Total,95,2,2.0,19774.0,133855,70182,63673,146.16,916.0
1.0,002,00007,SUB-DISTRICT,Budgam,Rural,95,2,0.0,16517.0,111056,57359,53697,131.44,845.0
1.0,002,00007,SUB-DISTRICT,Budgam,Urban,0,0,2.0,3257.0,22799,12823,9976,14.72,1549.0
1.0,002,00008,SUB-DISTRICT,Chadoora,Total,104,4,3.0,30390.0,212233,113529,98704,194.67,1090.0
1.0,002,00008,SUB-DISTRICT,Chadoora,Rural,104,4,0.0,23904.0,164945,86218,78727,172.74,955.0
1.0,002,00008,SUB-DISTRICT,Chadoora,Urban,0,0,3.0,6486.0,47288,27311,19977,21.93,2156.0
1.0,002,00009,SUB-DISTRICT,Charar- E- Shrief,Total,16,1,1.0,7054.0,53416,28369,25047,58.85,908.0
1.0,002,00009,SUB-DISTRICT,Charar- E- Shrief,Rural,16,1,0.0,4956.0,41883,22465,19418,58.05,721.0
1.0,002,00009,SUB-DISTRICT,Charar- E- Shrief,Urban,0,0,1.0,2098.0,11533,5904,5629,0.8,14416.0
1.0,003,00000,DISTRICT,Leh(Ladakh),Total,111,1,3.0,21909.0,133487,78971,54516,45110.0,3.0
1.0,003,00000,DISTRICT,Leh(Ladakh),Rural,111,1,0.0,14905.0,87816,48411,39405,45085.99,2.0
1.0,003,00000,DISTRICT,Leh(Ladakh),Urban,0,0,3.0,7004.0,45671,30560,15111,24.01,1902.0
1.0,003,00010,SUB-DISTRICT,Leh,Total,60,1,3.0,15497.0,93961,56597,37364,171.06,549.0
1.0,003,00010,SUB-DISTRICT,Leh,Rural,60,1,0.0,8493.0,48290,26037,22253,147.05,328.0
1.0,003,00010,SUB-DISTRICT,Leh,Urban,0,0,3.0,7004.0,45671,30560,15111,24.01,1902.0
1.0,003,00011,SUB-DISTRICT,Nubra,Total,28,0,0.0,3606.0,22433,13740,8693,166.82,134.0
1.0,003,00011,SUB-DISTRICT,Nubra,Rural,28,0,0.0,3606.0,22433,13740,8693,166.82,134.0
1.0,003,00011,SUB-DISTRICT,Nubra,Urban,0,0,0.0,0.0,0,0,0,0.0,0.0
1.0,003,00012,SUB-DISTRICT,Khalsi,Total,23,0,0.0,2806.0,17093,8634,8459,56.01,305.0
1.0,003,00012,SUB-DISTRICT,Khalsi,Rural,23,0,0.0,2806.0,17093,8634,8459,56.01,305.0
1.0,003,00012,SUB-DISTRICT,Khalsi,Urban,0,0,0.0,0.0,0,0,0,0.0,0.0
1.0,004,00000,DISTRICT,Kargil,Total,125,2,1.0,18338.0,140802,77785,63017,14036.0,10.0
1.0,004,00000,DISTRICT,Kargil,Rural,125,2,0.0,16147.0,124464,67703,56761,14033.86,9.0
1.0,004,00000,DISTRICT,Kargil,Urban,0,0,1.0,2191.0,16338,10082,6256,2.14,7635.0
1.0,004,00013,SUB-DISTRICT,Kargil,Total,64,2,1.0,10867.0,86461,49431,37030,84.16,1027.0
1.0,004,00013,SUB-DISTRICT,Kargil,Rural,64,2,0.0,8676.0,70123,39349,30774,82.02,855.0
1.0,004,00013,SUB-DISTRICT,Kargil,Urban,0,0,1.0,2191.0,16338,10082,6256,2.14,7635.0
1.0,004,00014,SUB-DISTRICT,Sanku,Total,36,0,0.0,5144.0,40548,21346,19202,60.49,670.0
1.0,004,00014,SUB-DISTRICT,Sanku,Rural,36,0,0.0,5144.0,40548,21346,19202,60.49,670.0
1.0,004,00014,SUB-DISTRICT,Sanku,Urban,0,0,0.0,0.0,0,0,0,0.0,0.0
1.0,004,00015,SUB-DISTRICT,Zanskar,Total,25,0,0.0,2327.0,13793,7008,6785,43.11,320.0
1.0,004,00015,SUB-DISTRICT,Zanskar,Rural,25,0,0.0,2327.0,13793,7008,6785,43.11,320.0
1.0,004,00015,SUB-DISTRICT,Zanskar,Urban,0,0,0.0,0.0,0,0,0,0.0,0.0
1.0,005,00000,DISTRICT,Punch,Total,170,8,3.0,90261.0,476835,251899,224936,1674.0,285.0
1.0,005,00000,DISTRICT,Punch,Rural,170,8,0.0,83045.0,438205,229774,208431,1649.92,266.0
1.0,005,00000,DISTRICT,Punch,Urban,0,0,3.0,7216.0,38630,22125,16505,24.08,1604.0
1.0,005,00016,SUB-DISTRICT,Haveli,Total,49,2,1.0,25558.0,132767,71538,61229,278.42,477.0
1.0,005,00016,SUB-DISTRICT,Haveli,Rural,49,2,0.0,20615.0,105913,55475,50438,268.06,395.0
1.0,005,00016,SUB-DISTRICT,Haveli,Urban,0,0,1.0,4943.0,26854,16063,10791,10.36,2592.0
1.0,005,00017,SUB-DISTRICT,Mandi,Total,37,0,0.0,16313.0,77947,41365,36582,196.28,397.0
1.0,005,00017,SUB-DISTRICT,Mandi,Rural,37,0,0.0,16313.0,77947,41365,36582,196.28,397.0
1.0,005,00017,SUB-DISTRICT,Mandi,Urban,0,0,0.0,0.0,0,0,0,0.0,0.0
1.0,005,00018,SUB-DISTRICT,Mendhar,Total,51,5,1.0,25334.0,141366,73297,68069,424.69,333.0
